Fase,Partido,Fecha,Hora (Madrid CEST),Local,Visitante,Cruce Siguiente
Dieciseisavos de final,73,28 jun 2026,21:00,Sudáfrica,Canadá,Pasa al P90
Dieciseisavos de final,74,29 jun 2026,22:30,Alemania,Paraguay,Pasa al P89
Dieciseisavos de final,75,30 jun 2026,3:00,Países Bajos,Marruecos,Pasa al P90
Dieciseisavos de final,76,29 jun 2026,19:00,Brasil,Japón,Pasa al P91
Dieciseisavos de final,77,30 jun 2026,23:00,Francia,Suecia,Pasa al P89
Dieciseisavos de final,78,30 jun 2026,19:00,Costa de Marfil,Noruega,Pasa al P91
Dieciseisavos de final,79,1 jul 2026,3:00,México,Ecuador,Pasa al P92
Dieciseisavos de final,80,1 jul 2026,18:00,Inglaterra,RD Congo,Pasa al P92
Dieciseisavos de final,81,2 jul 2026,2:00,Estados Unidos,Bosnia y Herzegovina,Pasa al P94
Dieciseisavos de final,82,1 jul 2026,22:00,Bélgica,Senegal,Pasa al P94
Dieciseisavos de final,83,3 jul 2026,1:00,Portugal,Croacia,Pasa al P93
Dieciseisavos de final,84,2 jul 2026,21:00,España,Austria,Pasa al P93
Dieciseisavos de final,85,3 jul 2026,5:00,Suiza,Argelia,Pasa al P96
Dieciseisavos de final,86,4 jul 2026,0:00,Argentina,Cabo Verde,Pasa al P95
Dieciseisavos de final,87,4 jul 2026,3:30,Colombia,Ghana,Pasa al P96
Dieciseisavos de final,88,3 jul 2026,20:00,Australia,Egipto,Pasa al P95
Octavos de final,89,4 jul 2026,23:00,Paraguay,Ganador P77,Pasa al P97
Octavos de final,90,4 jul 2026,19:00,Canadá,Marruecos,Pasa al P97
Octavos de final,91,5 jul 2026,22:00,Brasil,Ganador P78,Pasa al P99
Octavos de final,92,6 jul 2026,2:00,Ganador P79,Ganador P80,Pasa al P99
Octavos de final,93,6 jul 2026,21:00,Ganador P83,Ganador P84,Pasa al P98
Octavos de final,94,7 jul 2026,2:00,Ganador P81,Ganador P82,Pasa al P98
Octavos de final,95,7 jul 2026,18:00,Ganador P86,Ganador P88,Pasa al P100
Octavos de final,96,7 jul 2026,22:00,Ganador P85,Ganador P87,Pasa al P100
Cuartos de final,97,9 jul 2026,22:00,Ganador P89,Ganador P90,Pasa al P101
Cuartos de final,98,10 jul 2026,21:00,Ganador P93,Ganador P94,Pasa al P101
Cuartos de final,99,11 jul 2026,23:00,Ganador P91,Ganador P92,Pasa al P102
Cuartos de final,100,12 jul 2026,3:00,Ganador P95,Ganador P96,Pasa al P102
Semifinales,101,14 jul 2026,21:00,Ganador P97,Ganador P98,Pasa a la Final
Semifinales,102,15 jul 2026,21:00,Ganador P99,Ganador P100,Pasa a la Final
Tercer Puesto,103,18 jul 2026,21:00,Perdedor P101,Perdedor P102,-
Final,104,19 jul 2026,21:00,Ganador P101,Ganador P102,Campeón
